,x,, y,,start extrusion speed,,end extrusion speed,,,start width,,end width,,,,,
G5 X,3.50002, Y,0.52562, S,0, E,0,,,0,,0,,,3500.02, Y,525.62
G5 X,23.86008, Y,0.36072, S,0.015675463770208, E,0.011380386697171,,,500,,363,,,23860.08, Y,360.72
G5 X,24.025, Y,0, S,0.011380386697171, E,0.011380386697171,,,363,,363,,,24025, Y,0
G5 X,23.86008, Y,-0.36072, S,0.011380386697171, E,0.011380386697171,,,363,,363,,,23860.08, Y,-360.72
G5 X,3.50002, Y,-0.52562, S,0.011380386697171, E,0.015675463770208,,,363,,500,,,3500.02, Y,-525.62
G5 X,3.50002, Y,0.52562, S,0.015675463770208, E,0.015675463770208,,,500,,500,,,3500.02, Y,525.62
,0,,0,,,,,,,,,,,,,,
G5 X,2.50002, Y,1.57687, S,0, E,0,,,0,,0,,,2500.02, Y,1576.87
G5 X,24.58151, Y,1.08215, S,0.015675463770208, E,0.011505790407333,,,500,,367,,,24581.51, Y,1082.15
G5 X,25.02263, Y,0.47202, S,0.011505790407333, E,0.014828988726617,,,367,,473,,,25022.63, Y,472.02
G5 X,43.84644, Y,0.32212, S,0.014828988726617, E,0.010189051450635,,,473,,325,,,43846.44, Y,322.12
G5 X,44.04995, Y,0, S,0.010189051450635, E,0.010189051450635,,,325,,325,,,44049.95, Y,0
G5 X,43.84644, Y,-0.32212, S,0.010189051450635, E,0.010189051450635,,,325,,325,,,43846.44, Y,-322.12
G5 X,25.02263, Y,-0.47202, S,0.010189051450635, E,0.014828988726617,,,325,,473,,,25022.63, Y,-472.02
G5 X,24.58151, Y,-1.08215, S,0.014828988726617, E,0.011505790407333,,,473,,367,,,24581.51, Y,-1082.15
G5 X,2.50002, Y,-1.57687, S,0.011505790407333, E,0.015675463770208,,,367,,500,,,2500.02, Y,-1576.87
G5 X,2.50002, Y,1.57687, S,0.015675463770208, E,0.015675463770208,,,500,,500,,,2500.02, Y,1576.87
,0,,0,,,,,,,,,,,,,,
G5 X,1.50001, Y,2.62812, S,0, E,0,,,0,,0,,,1500.01, Y,2628.12
G5 X,25.30295, Y,1.80359, S,0.015675463770208, E,0.011662545045035,,,500,,372,,,25302.95, Y,1803.59
G5 X,25.96757, Y,1.41696, S,0.011662545045035, E,0.015173848929562,,,372,,484,,,25967.57, Y,1416.96
G5 X,44.49054, Y,0.96622, S,0.015173848929562, E,0.010345806088338,,,484,,330,,,44490.54, Y,966.22
G5 X,45.0461, Y,0.47053, S,0.010345806088338, E,0.014891690581698,,,330,,475,,,45046.1, Y,470.53
G5 X,63.79394, Y,0.24465, S,0.014891690581698, E,0.007743679102483,,,475,,247,,,63793.94, Y,244.65
G5 X,64.07491, Y,0, S,0.007743679102483, E,0.007743679102483,,,247,,247,,,64074.91, Y,0
G5 X,63.79394, Y,-0.24465, S,0.007743679102483, E,0.007743679102483,,,247,,247,,,63793.94, Y,-244.65
G5 X,45.0461, Y,-0.47053, S,0.007743679102483, E,0.014891690581698,,,247,,475,,,45046.1, Y,-470.53
G5 X,44.49054, Y,-0.96622, S,0.014891690581698, E,0.010345806088338,,,475,,330,,,44490.54, Y,-966.22
G5 X,25.96757, Y,-1.41696, S,0.010345806088338, E,0.015173848929562,,,330,,484,,,25967.57, Y,-1416.96
G5 X,25.30295, Y,-1.80359, S,0.015173848929562, E,0.011662545045035,,,484,,372,,,25302.95, Y,-1803.59
G5 X,1.50001, Y,-2.62812, S,0.011662545045035, E,0.015675463770208,,,372,,500,,,1500.01, Y,-2628.12
G5 X,1.50001, Y,2.62812, S,0.015675463770208, E,0.015675463770208,,,500,,500,,,1500.01, Y,2628.12
,0,,0,,,,,,,,,,,,,,
G5 X,0.5, Y,3.67937, S,0, E,0,,,0,,0,,,500, Y,3679.37
G5 X,26.02438, Y,2.52502, S,0.015675463770208, E,0.011787948755197,,,500,,376,,,26024.38, Y,2525.02
G5 X,26.91338, Y,2.36277, S,0.011787948755197, E,0.015424656349885,,,376,,492,,,26913.38, Y,2362.77
G5 X,45.13451, Y,1.61019, S,0.015424656349885, E,0.01050256072604,,,492,,335,,,45134.51, Y,1610.19
G5 X,45.98715, Y,1.41158, S,0.01050256072604, E,0.015267901712183,,,335,,487,,,45987.15, Y,1411.58
G5 X,64.28323, Y,0.73395, S,0.015267901712183, E,0.007931784667725,,,487,,253,,,64283.23, Y,733.95
G5 X,65.0648, Y,0.46427, S,0.007931784667725, E,0.014923041509238,,,253,,476,,,65064.8, Y,464.27
G5 X,73.81267, Y,0.25091, S,0.014923041509238, E,0.008057188377887,,,476,,257,,,73812.67, Y,250.91
G5 X,74.08739, Y,0, S,0.008057188377887, E,0.008057188377887,,,257,,257,,,74087.39, Y,0
G5 X,73.81267, Y,-0.25091, S,0.008057188377887, E,0.008057188377887,,,257,,257,,,73812.67, Y,-250.91
G5 X,65.0648, Y,-0.46427, S,0.008057188377887, E,0.014923041509238,,,257,,476,,,65064.8, Y,-464.27
G5 X,64.28323, Y,-0.73395, S,0.014923041509238, E,0.007931784667725,,,476,,253,,,64283.23, Y,-733.95
G5 X,45.98715, Y,-1.41158, S,0.007931784667725, E,0.015267901712183,,,253,,487,,,45987.15, Y,-1411.58
G5 X,45.13451, Y,-1.61019, S,0.015267901712183, E,0.01050256072604,,,487,,335,,,45134.51, Y,-1610.19
G5 X,26.91338, Y,-2.36277, S,0.01050256072604, E,0.015424656349885,,,335,,492,,,26913.38, Y,-2362.77
G5 X,26.02438, Y,-2.52502, S,0.015424656349885, E,0.011787948755197,,,492,,376,,,26024.38, Y,-2525.02
G5 X,0.5, Y,-3.67937, S,0.011787948755197, E,0.015675463770208,,,376,,500,,,500, Y,-3679.37
G5 X,0.5, Y,3.67937, S,0.015675463770208, E,0.015675463770208,,,500,,500,,,500, Y,3679.37
,,,,,,,,,,,,,,,,,
,,,,,width to E speed factor:,,,,,,,,,,,,
,,,,,0.007957747154595,,,,,,,,,,,,
